,AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,Class
0,73107,1161.807,442.4074,217.7261,0.8705,305.0946,0.9424,77579,0.771,2.0319,0.6806,0.6896,0.0061,0.003,0.4756,0.9664,Kirmizi_Pistachio
1,89272,1173.181,460.2551,251.9546,0.8369,337.1419,0.9641,92598,0.7584,1.8267,0.8151,0.7325,0.0052,0.0028,0.5366,0.9802,Siit_Pistachio
2,60955,999.789,386.9247,209.1255,0.8414,278.5863,0.9465,64400,0.7263,1.8502,0.7663,0.72,0.0063,0.0034,0.5184,0.9591,Kirmizi_Pistachio
3,79537,1439.5129,466.7973,221.2136,0.8806,318.2289,0.9437,84281,0.7568,2.1102,0.4823,0.6817,0.0059,0.0028,0.4648,0.9807,Kirmizi_Pistachio
4,96395,1352.674,515.873,246.5945,0.8784,350.334,0.9549,100950,0.7428,2.092,0.662,0.6791,0.0054,0.0026,0.4612,0.9648,Kirmizi_Pistachio
5,74065,1380.55,405.4317,245.2286,0.7963,307.0871,0.9041,81920,0.7251,1.6533,0.4883,0.7574,0.0055,0.0033,0.5737,0.9485,Kirmizi_Pistachio
6,91533,1915.9561,451.7373,267.9266,0.8051,341.3846,0.9395,97432,0.7333,1.686,0.3133,0.7557,0.0049,0.0029,0.5711,0.9629,Siit_Pistachio
7,77803,2034.995,455.4354,270.3713,0.8047,314.7409,0.7967,97652,0.6716,1.6845,0.2361,0.6911,0.0059,0.0035,0.4776,0.8045,Kirmizi_Pistachio
8,90992,1185.531,468.9019,249.606,0.8465,340.3742,0.9883,92072,0.7601,1.8786,0.8136,0.7259,0.0052,0.0027,0.5269,0.9899,Siit_Pistachio
9,83311,1208.881,473.0142,228.6437,0.8754,325.6913,0.9687,86004,0.7708,2.0688,0.7164,0.6885,0.0057,0.0027,0.4741,0.9808,Kirmizi_Pistachio
10,100207,2110.77,476.0792,274.6955,0.8167,357.1939,0.9494,105543,0.6499,1.7331,0.2826,0.7503,0.0048,0.0027,0.5629,0.9756,Siit_Pistachio
